"county","cases","population","race","gender","age"
"centre",10,14060,"w","m","40.59"
"centre",10,3950,"w","m","60.69"
"centre",19,4037,"w","m","70+"
"chester",0,15602,"o","f","Under.40"
"chester",3,5186,"o","f","40.59"
"chester",3,1211,"o","f","60.69"
"chester",7,1353,"o","f","70+"
"chester",1,103685,"w","f","Under.40"
"chester",25,58711,"w","f","40.59"
"chester",25,14392,"w","f","60.69"
"chester",70,20622,"w","f","70+"
"chester",0,16235,"o","m","Under.40"
"chester",4,5153,"o","m","40.59"
"chester",7,1108,"o","m","60.69"
"chester",6,908,"o","m","70+"
"chester",1,104948,"w","m","Under.40"
"chester",22,57093,"w","m","40.59"
"chester",44,13493,"w","m","60.69"
"chester",73,13801,"w","m","70+"
"clarion",0,280,"o","f","Under.40"
"clarion",0,66,"o","f","40.59"
"clarion",0,13,"o","f","60.69"
"clarion",0,13,"o","f","70+"
"clarion",0,11382,"w","f","Under.40"
"clarion",3,5217,"w","f","40.59"
"clarion",2,1899,"w","f","60.69"
"clarion",9,2733,"w","f","70+"
"clarion",0,321,"o","m","Under.40"
"clarion",0,53,"o","m","40.59"
"clarion",0,16,"o","m","60.69"
"clarion",0,5,"o","m","70+"
"clarion",0,10997,"w","m","Under.40"
"clarion",1,5162,"w","m","40.59"
"clarion",8,1718,"w","m","60.69"
"clarion",9,1890,"w","m","70+"
"clearfield",0,285,"o","f","Under.40"
"clearfield",0,122,"o","f","40.59"
"clearfield",0,29,"o","f","60.69"
"clearfield",0,33,"o","f","70+"
"clearfield",0,19993,"w","f","Under.40"
"clearfield",6,10993,"w","f","40.59"
"clearfield",9,3946,"w","f","60.69"
"clearfield",18,6400,"w","f","70+"
"clearfield",0,1241,"o","m","Under.40"
"clearfield",1,388,"o","m","40.59"
"clearfield",0,43,"o","m","60.69"
"clearfield",0,23,"o","m","70+"
"clearfield",0,21077,"w","m","Under.40"
"clearfield",7,11245,"w","m","40.59"
"clearfield",9,3482,"w","m","60.69"
"clearfield",23,4082,"w","m","70+"
"clinton",0,216,"o","f","Under.40"
"clinton",0,48,"o","f","40.59"
"clinton",0,17,"o","f","60.69"
"clinton",0,20,"o","f","70+"
"clinton",0,9825,"w","f","Under.40"
"clinton",2,4823,"w","f","40.59"
"clinton",5,1758,"w","f","60.69"
"clinton",9,2818,"w","f","70+"
"clinton",0,273,"o","m","Under.40"
"clinton",0,54,"o","m","40.59"
"clinton",0,13,"o","m","60.69"
"clinton",0,9,"o","m","70+"
"clinton",0,9797,"w","m","Under.40"
"clinton",0,4764,"w","m","40.59"
"clinton",3,1603,"w","m","60.69"
"clinton",8,1876,"w","m","70+"
"columbia",0,535,"o","f","Under.40"
"columbia",0,125,"o","f","40.59"
"columbia",0,27,"o","f","60.69"
"columbia",0,22,"o","f","70+"
"columbia",0,16966,"w","f","Under.40"
"columbia",3,8446,"w","f","40.59"
"columbia",4,2810,"w","f","60.69"
"columbia",15,4697,"w","f","70+"
"columbia",0,661,"o","m","Under.40"
"columbia",0,133,"o","m","40.59"
"columbia",0,30,"o","m","60.69"
"columbia",0,16,"o","m","70+"
"columbia",0,16176,"w","m","Under.40"
"columbia",10,8112,"w","m","40.59"
"columbia",5,2494,"w","m","60.69"
"columbia",21,2901,"w","m","70+"
"crawford",0,1046,"o","f","Under.40"
"crawford",0,338,"o","f","40.59"
"crawford",0,64,"o","f","60.69"
"crawford",0,80,"o","f","70+"
"crawford",0,22638,"w","f","Under.40"
"crawford",6,12202,"w","f","40.59"
"crawford",8,3861,"w","f","60.69"
"crawford",16,6169,"w","f","70+"
"crawford",0,811,"o","m","Under.40"
"crawford",0,243,"o","m","40.59"
"crawford",0,73,"o","m","60.69"
"crawford",0,58,"o","m","70+"
"crawford",0,23261,"w","m","Under.40"
"crawford",5,11808,"w","m","40.59"
"crawford",18,3661,"w","m","60.69"
"crawford",21,4053,"w","m","70+"
"cumberland",0,3525,"o","f","Under.40"
"cumberland",2,1232,"o","f","40.59"
"cumberland",0,215,"o","f","60.69"
"cumberland",1,206,"o","f","70+"
"cumberland",1,52055,"w","f","Under.40"
"cumberland",13,28962,"w","f","40.59"
"cumberland",9,8860,"w","f","60.69"
"cumberland",38,14406,"w","f","70+"
"cumberland",0,4992,"o","m","Under.40"
"cumberland",0,1419,"o","m","40.59"
"cumberland",0,237,"o","m","60.69"
"cumberland",1,132,"o","m","70+"
"cumberland",1,52620,"w","m","Under.40"
"cumberland",14,28215,"w","m","40.59"
"cumberland",19,7787,"w","m","60.69"
"cumberland",33,8811,"w","m","70+"
"dauphin",1,19845,"o","f","Under.40"
"dauphin",4,6753,"o","f","40.59"
"dauphin",3,1677,"o","f","60.69"
"dauphin",5,1749,"o","f","70+"
"dauphin",0,47676,"w","f","Under.40"
"dauphin",10,29636,"w","f","40.59"
"dauphin",17,9051,"w","f","60.69"
"dauphin",31,14558,"w","f","70+"
"dauphin",0,18980,"o","m","Under.40"
"dauphin",5,6262,"o","m","40.59"
"dauphin",3,1338,"o","m","60.69"
"dauphin",4,1036,"o","m","70+"
"dauphin",1,48191,"w","m","Under.40"
"dauphin",15,28467,"w","m","40.59"
"dauphin",24,7685,"w","m","60.69"
"dauphin",45,8894,"w","m","70+"
"delaware",0,36951,"o","f","Under.40"
"delaware",11,13407,"o","f","40.59"
"delaware",9,3067,"o","f","60.69"
"delaware",22,3614,"o","f","70+"
"delaware",0,112258,"w","f","Under.40"
"delaware",31,62212,"w","f","40.59"
"delaware",41,19387,"w","f","60.69"
"delaware",121,37144,"w","f","70+"
"delaware",0,35854,"o","m","Under.40"
"delaware",9,10991,"o","m","40.59"
"delaware",5,2453,"o","m","60.69"
"delaware",17,2078,"o","m","70+"
"delaware",2,113799,"w","m","Under.40"
"delaware",43,59104,"w","m","40.59"
"delaware",51,16089,"w","m","60.69"
"delaware",123,22456,"w","m","70+"
"elk",0,126,"o","f","Under.40"
"elk",0,45,"o","f","40.59"
"elk",0,6,"o","f","60.69"
"elk",0,9,"o","f","70+"
"elk",0,8598,"w","f","Under.40"
"elk",1,4534,"w","f","40.59"
"elk",7,1713,"w","f","60.69"
"elk",4,2700,"w","f","70+"
"elk",0,119,"o","m","Under.40"
"elk",0,45,"o","m","40.59"
"elk",0,11,"o","m","60.69"
"elk",0,5,"o","m","70+"
"elk",0,9097,"w","m","Under.40"
"elk",5,4803,"w","m","40.59"
"elk",6,1515,"w","m","60.69"
"elk",8,1786,"w","m","70+"
"erie",0,8993,"o","f","Under.40"
"erie",1,2371,"o","f","40.59"
"erie",0,551,"o","f","60.69"
"erie",2,537,"o","f","70+"
"erie",0,67803,"w","f","Under.40"
"erie",20,34938,"w","f","40.59"
"erie",24,10368,"w","f","60.69"
"erie",71,18315,"w","f","70+"
"erie",0,9951,"o","m","Under.40"
"erie",4,2361,"o","m","40.59"
"erie",7,454,"o","m","60.69"
"erie",3,343,"o","m","70+"
"erie",2,69272,"w","m","Under.40"
"erie",18,34196,"w","m","40.59"
"erie",23,9031,"w","m","60.69"
"erie",56,11359,"w","m","70+"
"fayette",0,2152,"o","f","Under.40"
"fayette",1,837,"o","f","40.59"
"fayette",0,275,"o","f","60.69"
"fayette",4,423,"o","f","70+"
"fayette",0,34597,"w","f","Under.40"
"fayette",8,19926,"w","f","40.59"
"fayette",11,6922,"w","f","60.69"
"fayette",31,12376,"w","f","70+"
"fayette",0,2090,"o","m","Under.40"
"fayette",1,758,"o","m","40.59"
"fayette",1,212,"o","m","60.69"
"fayette",3,240,"o","m","70+"
"fayette",0,35060,"w","m","Under.40"
"fayette",12,19589,"w","m","40.59"
"fayette",26,5726,"w","m","60.69"
"fayette",52,7461,"w","m","70+"
"forest",0,23,"o","f","Under.40"
"forest",0,5,"o","f","40.59"
"forest",0,5,"o","f","60.69"
"forest",0,4,"o","f","70+"
"forest",0,915,"w","f","Under.40"
"forest",0,695,"w","f","40.59"
"forest",0,324,"w","f","60.69"
"forest",1,371,"w","f","70+"
"forest",0,153,"o","m","Under.40"
"forest",0,6,"o","m","40.59"
"forest",0,3,"o","m","60.69"
"forest",0,2,"o","m","70+"
"forest",0,1099,"w","m","Under.40"
"forest",0,689,"w","m","40.59"
"forest",0,334,"w","m","60.69"
"forest",3,318,"w","m","70+"
"franklin",0,2037,"o","f","Under.40"
"franklin",0,607,"o","f","40.59"
"franklin",1,155,"o","f","60.69"
"franklin",2,160,"o","f","70+"
"franklin",0,31642,"w","f","Under.40"
"franklin",9,17039,"w","f","40.59"
"franklin",8,5756,"w","f","60.69"
"franklin",22,9002,"w","f","70+"
"franklin",0,2188,"o","m","Under.40"
"franklin",0,640,"o","m","40.59"
"franklin",1,129,"o","m","60.69"
"franklin",1,118,"o","m","70+"
"franklin",0,32103,"w","m","Under.40"
"franklin",9,16489,"w","m","40.59"
"franklin",18,5297,"w","m","60.69"
"franklin",34,5951,"w","m","70+"
"fulton",0,96,"o","f","Under.40"
"fulton",0,25,"o","f","40.59"
"fulton",0,13,"o","f","60.69"
"fulton",0,10,"o","f","70+"
"fulton",0,3547,"w","f","Under.40"
"fulton",0,1907,"w","f","40.59"
"fulton",1,682,"w","f","60.69"
"fulton",2,848,"w","f","70+"
"fulton",0,72,"o","m","Under.40"
"fulton",0,26,"o","m","40.59"
"fulton",0,6,"o","m","60.69"
"fulton",0,1,"o","m","70+"
"fulton",0,3800,"w","m","Under.40"
"fulton",1,1967,"w","m","40.59"
"fulton",4,667,"w","m","60.69"
"fulton",3,594,"w","m","70+"
"greene",0,169,"o","f","Under.40"
"greene",0,74,"o","f","40.59"
"greene",0,21,"o","f","60.69"
"greene",0,34,"o","f","70+"
"greene",0,9594,"w","f","Under.40"
"greene",4,5366,"w","f","40.59"
"greene",4,1654,"w","f","60.69"
"greene",5,2809,"w","f","70+"
"greene",0,1284,"o","m","Under.40"
"greene",0,386,"o","m","40.59"
"greene",0,24,"o","m","60.69"
"greene",0,15,"o","m","70+"
"greene",0,10392,"w","m","Under.40"
"greene",6,5600,"w","m","40.59"
"greene",7,1449,"w","m","60.69"
"greene",12,1801,"w","m","70+"
"huntingdon",0,318,"o","f","Under.40"
"huntingdon",0,106,"o","f","40.59"
"huntingdon",0,33,"o","f","60.69"
"huntingdon",0,31,"o","f","70+"
"huntingdon",0,10587,"w","f","Under.40"
"huntingdon",2,5720,"w","f","40.59"
"huntingdon",1,2052,"w","f","60.69"
"huntingdon",6,2897,"w","f","70+"
"huntingdon",0,1921,"o","m","Under.40"
"huntingdon",0,576,"o","m","40.59"
"huntingdon",0,33,"o","m","60.69"
"huntingdon",0,24,"o","m","70+"
"huntingdon",0,11549,"w","m","Under.40"
"huntingdon",3,5980,"w","m","40.59"
"huntingdon",5,1891,"w","m","60.69"
"huntingdon",9,1868,"w","m","70+"
"indiana",0,1109,"o","f","Under.40"
"indiana",0,199,"o","f","40.59"
"indiana",0,41,"o","f","60.69"
"indiana",0,53,"o","f","70+"
"indiana",0,23635,"w","f","Under.40"
"indiana",7,11396,"w","f","40.59"
"indiana",7,3615,"w","f","60.69"
"indiana",14,6135,"w","f","70+"
"indiana",0,1106,"o","m","Under.40"
"indiana",1,213,"o","m","40.59"
"indiana",1,41,"o","m","60.69"
"indiana",0,47,"o","m","70+"
"indiana",0,23478,"w","m","Under.40"
"indiana",6,11400,"w","m","40.59"
"indiana",13,3255,"w","m","60.69"
"indiana",21,3882,"w","m","70+"
"jefferson",0,146,"o","f","Under.40"
"jefferson",0,51,"o","f","40.59"
"jefferson",0,16,"o","f","60.69"
"jefferson",0,23,"o","f","70+"
"jefferson",0,11104,"w","f","Under.40"
"jefferson",4,6170,"w","f","40.59"
"jefferson",2,2206,"w","f","60.69"
"jefferson",10,3751,"w","f","70+"
"jefferson",0,157,"o","m","Under.40"
"jefferson",0,60,"o","m","40.59"
"jefferson",0,7,"o","m","60.69"
"jefferson",0,15,"o","m","70+"
"jefferson",0,11676,"w","m","Under.40"
"jefferson",2,6102,"w","m","40.59"
"jefferson",8,2022,"w","m","60.69"
"jefferson",8,2426,"w","m","70+"
"juniata",0,161,"o","f","Under.40"
"juniata",0,38,"o","f","40.59"
"juniata",0,4,"o","f","60.69"
"juniata",0,3,"o","f","70+"
"juniata",0,5755,"w","f","Under.40"
"juniata",0,2932,"w","f","40.59"
"juniata",1,1078,"w","f","60.69"
"juniata",3,1497,"w","f","70+"
"juniata",0,180,"o","m","Under.40"
"juniata",0,46,"o","m","40.59"
"juniata",0,8,"o","m","60.69"
"juniata",0,5,"o","m","70+"
"juniata",0,6090,"w","m","Under.40"
"juniata",0,3039,"w","m","40.59"
"juniata",1,994,"w","m","60.69"
"juniata",1,991,"w","m","70+"
"lackawanna",0,2506,"o","f","Under.40"
"lackawanna",0,594,"o","f","40.59"
"lackawanna",0,111,"o","f","60.69"
"lackawanna",0,117,"o","f","70+"
"lackawanna",0,50214,"w","f","Under.40"
"lackawanna",11,28179,"w","f","40.59"
"lackawanna",17,10190,"w","f","60.69"
"lackawanna",35,20770,"w","f","70+"
"lackawanna",0,2872,"o","m","Under.40"
"lackawanna",0,705,"o","m","40.59"
"lackawanna",0,140,"o","m","60.69"
"lackawanna",1,90,"o","m","70+"
"lackawanna",0,50019,"w","m","Under.40"
"lackawanna",18,27137,"w","m","40.59"
"lackawanna",31,8434,"w","m","60.69"
"lackawanna",68,11217,"w","m","70+"
"lancaster",0,14869,"o","f","Under.40"
"lancaster",1,3748,"o","f","40.59"
"lancaster",2,690,"o","f","60.69"
"lancaster",7,636,"o","f","70+"
"lancaster",2,116127,"w","f","Under.40"
"lancaster",18,58287,"w","f","40.59"
"lancaster",31,17642,"w","f","60.69"
"lancaster",66,29205,"w","f","70+"
"lancaster",0,15347,"o","m","Under.40"
"lancaster",3,3885,"o","m","40.59"
"lancaster",0,623,"o","m","60.69"
"lancaster",1,404,"o","m","70+"
"lancaster",2,117881,"w","m","Under.40"
"lancaster",31,56310,"w","m","40.59"
"lancaster",50,15903,"w","m","60.69"
"lancaster",87,19101,"w","m","70+"
"lawrence",0,1653,"o","f","Under.40"
"lawrence",0,483,"o","f","40.59"
"lawrence",3,128,"o","f","60.69"
"lawrence",2,175,"o","f","70+"
"lawrence",1,21617,"w","f","Under.40"
"lawrence",5,12604,"w","f","40.59"
"lawrence",6,4495,"w","f","60.69"
"lawrence",19,8494,"w","f","70+"
"lawrence",0,1671,"o","m","Under.40"
"lawrence",1,424,"o","m","40.59"
"lawrence",1,108,"o","m","60.69"
"lawrence",0,107,"o","m","70+"
"lawrence",0,21637,"w","m","Under.40"
"lawrence",6,12083,"w","m","40.59"
"lawrence",6,3785,"w","m","60.69"
"lawrence",26,5179,"w","m","70+"
"lebanon",0,2338,"o","f","Under.40"
"lebanon",1,625,"o","f","40.59"
"lebanon",0,115,"o","f","60.69"
"lebanon",0,96,"o","f","70+"
"lebanon",0,28490,"w","f","Under.40"
"lebanon",3,15917,"w","f","40.59"
"lebanon",3,5234,"w","f","60.69"
"lebanon",20,8902,"w","f","70+"
"lebanon",0,2550,"o","m","Under.40"
"lebanon",1,753,"o","m","40.59"
"lebanon",0,110,"o","m","60.69"
"lebanon",0,78,"o","m","70+"
"lebanon",0,29202,"w","m","Under.40"
"lebanon",11,15597,"w","m","40.59"
"lebanon",9,4705,"w","m","60.69"
"lebanon",29,5615,"w","m","70+"
"lehigh",0,15262,"o","f","Under.40"
"lehigh",2,3823,"o","f","40.59"
"lehigh",3,692,"o","f","60.69"
"lehigh",2,503,"o","f","70+"
"lehigh",1,66471,"w","f","Under.40"
"lehigh",18,39593,"w","f","40.59"
"lehigh",28,12438,"w","f","60.69"
"lehigh",63,22754,"w","f","70+"
"lehigh",0,15585,"o","m","Under.40"
"lehigh",3,3743,"o","m","40.59"
"lehigh",0,554,"o","m","60.69"
"lehigh",1,338,"o","m","70+"
"lehigh",0,67459,"w","m","Under.40"
"lehigh",22,38246,"w","m","40.59"
"lehigh",39,10906,"w","m","60.69"
"lehigh",70,13723,"w","m","70+"
"luzerne",0,3132,"o","f","Under.40"
"luzerne",0,826,"o","f","40.59"
"luzerne",0,170,"o","f","60.69"
"luzerne",0,183,"o","f","70+"
"luzerne",1,72422,"w","f","Under.40"
"luzerne",22,42128,"w","f","40.59"
"luzerne",31,15526,"w","f","60.69"
"luzerne",54,31068,"w","f","70+"
"luzerne",0,4703,"o","m","Under.40"
"luzerne",0,1452,"o","m","40.59"
"luzerne",2,196,"o","m","60.69"
"luzerne",0,112,"o","m","70+"
"luzerne",0,75392,"w","m","Under.40"
"luzerne",27,41779,"w","m","40.59"
"luzerne",44,13204,"w","m","60.69"
"luzerne",104,16957,"w","m","70+"
"lycoming",0,2646,"o","f","Under.40"
"lycoming",2,780,"o","f","40.59"
"lycoming",0,126,"o","f","60.69"
"lycoming",0,123,"o","f","70+"
"lycoming",0,28103,"w","f","Under.40"
"lycoming",9,15712,"w","f","40.59"
"lycoming",9,5201,"w","f","60.69"
"lycoming",24,8671,"w","f","70+"
"lycoming",0,2704,"o","m","Under.40"
"lycoming",0,751,"o","m","40.59"
"lycoming",0,98,"o","m","60.69"
"lycoming",0,79,"o","m","70+"
"lycoming",1,29628,"w","m","Under.40"
"lycoming",8,15319,"w","m","40.59"
"lycoming",20,4630,"w","m","60.69"
"lycoming",25,5473,"w","m","70+"
"mckean",0,202,"o","f","Under.40"
"mckean",0,78,"o","f","40.59"
"mckean",0,26,"o","f","60.69"
"mckean",2,20,"o","f","70+"
"mckean",0,11188,"w","f","Under.40"
"mckean",6,5866,"w","f","40.59"
"mckean",3,2119,"w","f","60.69"
"mckean",7,3424,"w","f","70+"
"mckean",0,970,"o","m","Under.40"
"mckean",0,289,"o","m","40.59"
"mckean",0,23,"o","m","60.69"
"mckean",0,16,"o","m","70+"
"mckean",0,11554,"w","m","Under.40"
"mckean",2,6046,"w","m","40.59"
"mckean",4,1848,"w","m","60.69"
"mckean",11,2267,"w","m","70+"
"mercer",0,2623,"o","f","Under.40"
"mercer",0,899,"o","f","40.59"
"mercer",1,292,"o","f","60.69"
"mercer",0,308,"o","f","70+"
"mercer",0,27149,"w","f","Under.40"
"mercer",6,15355,"w","f","40.59"
"mercer",11,5429,"w","f","60.69"
"mercer",22,9715,"w","f","70+"
"mercer",0,2813,"o","m","Under.40"
"mercer",1,905,"o","m","40.59"
"mercer",1,213,"o","m","60.69"
"mercer",1,209,"o","m","70+"
"mercer",0,28257,"w","m","Under.40"
"mercer",8,15125,"w","m","40.59"
"mercer",21,4741,"w","m","60.69"
"mercer",26,6260,"w","m","70+"
"mifflin",0,254,"o","f","Under.40"
"mifflin",0,52,"o","f","40.59"
"mifflin",0,15,"o","f","60.69"
"mifflin",0,12,"o","f","70+"
"mifflin",1,11702,"w","f","Under.40"
"mifflin",10,6151,"w","f","40.59"
"mifflin",4,2279,"w","f","60.69"
"mifflin",12,3601,"w","f","70+"
"mifflin",0,262,"o","m","Under.40"
"mifflin",0,69,"o","m","40.59"
"mifflin",0,8,"o","m","60.69"
"mifflin",0,11,"o","m","70+"
"mifflin",0,11882,"w","m","Under.40"
"mifflin",3,5969,"w","m","40.59"
"mifflin",6,2050,"w","m","60.69"
"mifflin",9,2169,"w","m","70+"
"monroe",0,5668,"o","f","Under.40"
"monroe",0,2046,"o","f","40.59"
